You entered 1  with key extractps_0_0_0 
You entered 1  with key unpckd_0_0_0 
You entered 1  with key unpcklps_0_0_0 
You entered 1  with key unpckh_0_0_0 
You entered 0.5  with key movshup_0_m_0 
You entered 0.5  with key movldup_0_m_0 
You entered 0.5  with key movsh_0_m_0 
You entered 1  with key movshup_0_0_0 
You entered 1  with key movldup_0_0_0 
You entered 1  with key movsh_0_0_0 
You entered 0.5  with key vbroadcastf128_0_0_0 
You entered 1  with key vbroadcastsd_0_0_0 
You entered 0.5  with key vbroadcastsd_0_m_0 
You entered 1  with key vbroadcastss_0_0_0 
You entered 0.5  with key vbroadcastss_0_m_0 
You entered 0.5  with key movddup_0_m_0 
You entered 1  with key movddup_0_0_0 
You entered 1  with key vblendvpd_0_0_0 
You entered 1  with key vblendvps_0_0_0 
You entered 1  with key blendvpd_0_0_0 
You entered 1  with key blendvps_0_0_0 
You entered 0.5  with key blendpd_0_m_0 
You entered 0.5  with key blendps_0_m_0 
You entered 0.5  with key blendpd_0_0_m 
You entered 0.5  with key blendps_0_0_m 
You entered 0.33  with key blendpd_0_0_0 
You entered 0.33  with key blendps_0_0_0 
You entered 1  with key vpermpd_0_0_0 
You entered 1  with key vpermps_0_0_0 
You entered 1  with key vperm2f128_0_0_0 
You entered 1  with key vpermilpd_0_0_0 
You entered 1  with key vpermilps_0_0_0 
You entered 1  with key shufpd_0_0_0 
You entered 1  with key shufps_0_0_0 
You entered 1  with key vmovntpd_0_0_0 
You entered 1  with key vmovntps_0_0_0 
You entered 1  with key movntpd_0_0_0 
You entered 1  with key movntps_0_0_0 
You entered 1  with key vmovmskpd_0_0_0 
You entered 1  with key vmovmskps_0_0_0 
You entered 1  with key movmskpd_0_0_0 
You entered 1  with key movmskps_0_0_0 
You entered 1  with key movhlps_0_0_0 
You entered 1  with key movlpd_0_0_0 
You entered 1  with key movlps_0_0_0 
You entered 1  with key movhpd_0_0_0 
You entered 1  with key movhps_0_0_0 
You entered 1  with key movsd_m_0_0 
You entered 1  with key movss_m_0_0 
You entered 0.5  with key movsd_0_m_0 
You entered 0.5  with key movss_0_m_0 
You entered 1  with key movsd_0_0_0 
You entered 1  with key movss_0_0_0 
You entered 1  with key vmovupd_m_0_0 
You entered 1  with key vmovups_m_0_0 
You entered 0.5  with key vmovupd_0_m_0 
You entered 0.5  with key vmovups_0_m_0 
You entered 1  with key movupd_m_0_0 
You entered 1  with key movups_m_0_0 
You entered 0.5  with key movupd_0_m_0 
You entered 0.5  with key movups_0_m_0 
You entered 1  with key vmovapd_m_0_0 
You entered 1  with key vmovaps_m_0_0 
You entered 0.5  with key vmovapd_0_m_0 
You entered 0.5  with key vmovaps_0_m_0 
You entered 0.25  with key vmovapd_0_0_0 
You entered 0.25  with key vmovaps_0_0_0 
You entered 1  with key movapd_m_0_0 
You entered 1  with key movaps_m_0_0 
You entered 0.5  with key movapd_0_m_0 
You entered 0.5  with key movaps_0_m_0 
You entered 0.25  with key movapd_0_0_0 
You entered 0.25  with key movaps_0_0_0 
You entered 6  with key emms_0_0_0 
You entered 12  with key aeskeygenassist_0_m_0 
You entered 12  with key aeskeygenassist_0_0_0 
You entered 2  with key aesimc_0_0_0 
You entered 1.5  with key aesdenclast_0_m_0 
You entered 1.5  with key aesdenc_0_m_0 
You entered 1.5  with key aesdeclast_0_m_0 
You entered 1.5  with key aesdec_0_m_0 
You entered 1  with key aesdenclast_0_0_0 
You entered 1  with key aesdenc_0_0_0 
You entered 1  with key aesdeclast_0_0_0 
You entered 1  with key aesdec_0_0_0 
You entered 1  with key pclmulqdq_0_0_0 
You entered 3  with key pcmpistrm_0_0_0 
You entered 3  with key pcmpistri_0_0_0 
You entered 5  with key pcmpestrm_0_0_0 
You entered 4  with key pcmpestri_0_0_0 
You entered 1  with key psrldq_0_0_0 
You entered 1  with key pslldq_0_0_0 
You entered 0.5  with key vpsrlvq_0_0_0 
You entered 0.5  with key vpsrlvd_0_0_0 
You entered 0.5  with key vpsravd_0_0_0 
You entered 0.5  with key vpsllvq_0_0_0 
You entered 0.5  with key vpsllvd_0_0_0 
You entered 0.5  with key vpsrlvq_0_0_0 
You entered 0.5  with key vpsrlvd_0_0_0 
You entered 0.5  with key vpsravd_0_0_0 
You entered 0.5  with key vpsllvq_0_0_0 
You entered 0.5  with key vpsllvd_0_0_0 
You entered 1  with key psrad_0_0_0 
You entered 1  with key psraq_0_0_0 
You entered 1  with key psraw_0_0_0 
You entered 1  with key psrlq_0_0_0 
You entered 1  with key psrld_0_0_0 
You entered 1  with key psrlw_0_0_0 
You entered 1  with key psllq_0_0_0 
You entered 1  with key pslld_0_0_0 
You entered 1  with key psllw_0_0_0 
You entered 1  with key ptest_0_0_0 
You entered 0.5  with key pxor_0_0_m 
You entered 0.5  with key por_0_0_m 
You entered 0.5  with key pandn_0_0_m 
You entered 0.5  with key pand_0_0_m 
You entered 0.5  with key pxor_0_m_0 
You entered 0.5  with key por_0_m_0 
You entered 0.5  with key pandn_0_m_0 
You entered 0.5  with key pand_0_m_0 
You entered 0.33  with key pxor_0_0_0 
You entered 0.33  with key por_0_0_0 
You entered 0.33  with key pandn_0_0_0 
You entered 0.33  with key pand_0_0_0 
You entered 1  with key psradq_0_0_0 
You entered 1  with key psraqq_0_0_0 
You entered 1  with key psrawq_0_0_0 
You entered 1  with key psrlqq_0_0_0 
You entered 1  with key psrldq_0_0_0 
You entered 1  with key psrlwq_0_0_0 
You entered 1  with key psllqq_0_0_0 
You entered 1  with key pslldq_0_0_0 
You entered 1  with key psllwq_0_0_0 
You entered 1  with key ptestq_0_0_0 
You entered 0.5  with key pxorq_0_0_m 
You entered 0.5  with key porq_0_0_m 
You entered 0.5  with key pandnq_0_0_m 
You entered 0.5  with key pandq_0_0_m 
You entered 0.5  with key pxorq_0_m_0 
You entered 0.5  with key porq_0_m_0 
You entered 0.5  with key pandnq_0_m_0 
You entered 0.5  with key pandq_0_m_0 
You entered 0.33  with key pxorq_0_0_0 
You entered 0.33  with key porq_0_0_0 
You entered 0.33  with key pandnq_0_0_0 
You entered 0.33  with key pandq_0_0_0 
You entered 2  with key mpsadbw_0_0_0 
You entered 1  with key psadbw_0_0_0 
You entered 0.5  with key psignd_0_0_0 
You entered 0.5  with key psignw_0_0_0 
You entered 0.5  with key psignb_0_0_0 
You entered 0.5  with key pabsd_0_0_0 
You entered 0.5  with key pabsw_0_0_0 
You entered 0.5  with key pabsb_0_0_0 
You entered 1  with key phminposuw_0_0_0 
You entered 0.5  with key pmaxud_0_0_0 
You entered 0.5  with key pminud_0_0_0 
You entered 0.5  with key pmaxuw_0_0_0 
You entered 0.5  with key pminuw_0_0_0 
You entered 0.5  with key pmaxub_0_0_0 
You entered 0.5  with key pminub_0_0_0 
You entered 0.5  with key pmaxsd_0_0_0 
You entered 0.5  with key pminsd_0_0_0 
You entered 0.5  with key pmaxsw_0_0_0 
You entered 0.5  with key pminsw_0_0_0 
You entered 0.5  with key pmaxsb_0_0_0 
You entered 0.5  with key pminsb_0_0_0 
You entered 0.5  with key pmax_0_0_0 
You entered 0.5  with key pmin_0_0_0 
You entered 0.5  with key pavgw_0_0_0 
You entered 0.5  with key pavgb_0_0_0 
You entered 1  with key pmulhw_0_0_0 
You entered 0.5  with key pmaddubsw_0_0_0 
You entered 0.5  with key pmaddwd_0_0_0 
You entered 0.5  with key pmuludq_0_0_0 
You entered 0.5  with key pmuldq_0_0_0 
You entered 1  with key pmulld_0_0_0 
You entered 0.5  with key pmulhrsw_0_0_0 
You entered 1  with key pmulhuw_m_m_0 
You entered 1  with key pmullhw_m_m_0 
You entered 1  with key pmull_m_m_0 
You entered 0.5  with key pmulhuw_0_0_0 
You entered 0.5  with key pmullhw_0_0_0 
You entered 0.5  with key pmull_0_0_0 
You entered 1  with key pcmpgtq_0_0_0 
You entered 0.5  with key pcmpeqq_0_0_0 
You entered 1  with key pcmpgtd_m_m_0 
You entered 1  with key pcmpgtw_m_m_0 
You entered 1  with key pcmpgtb_m_m_0 
You entered 1  with key pcmpeqd_m_m_0 
You entered 1  with key pcmpeqw_m_m_0 
You entered 1  with key pcmpeqb_m_m_0 
You entered 0.5  with key pcmpgtd_0_0_0 
You entered 0.5  with key pcmpgtw_0_0_0 
You entered 0.5  with key pcmpgtb_0_0_0 
You entered 0.5  with key pcmpeqd_0_0_0 
You entered 0.5  with key pcmpeqw_0_0_0 
You entered 0.5  with key pcmpeqb_0_0_0 
You entered 2  with key phsubsd_0_0_0 
You entered 2  with key phsubd_0_0_0 
You entered 2  with key phaddsd_0_0_0 
You entered 2  with key phaddd_0_0_0 
You entered 2  with key phsubsw_0_0_0 
You entered 2  with key phsubw_0_0_0 
You entered 2  with key phaddsw_0_0_0 
You entered 2  with key phaddw_0_0_0 
You entered 2  with key phsubs_0_0_0 
You entered 2  with key phsub_0_0_0 
You entered 2  with key phadds_0_0_0 
You entered 2  with key phadd_0_0_0 
You entered 0.5  with key psubusq_0_m_m 
You entered 0.5  with key paddusq_0_m_m 
You entered 0.5  with key psubsq_0_m_m 
You entered 0.5  with key paddsq_0_m_m 
You entered 0.5  with key psubq_0_m_m 
You entered 0.5  with key paddq_0_m_m 
You entered 0.5  with key psubusd_0_m_m 
You entered 0.5  with key paddusd_0_m_m 
You entered 0.5  with key psubsd_0_m_m 
You entered 0.5  with key paddsd_0_m_m 
You entered 0.5  with key psubd_0_m_m 
You entered 0.5  with key paddd_0_m_m 
You entered 0.5  with key psubusw_0_m_m 
You entered 0.5  with key paddusw_0_m_m 
You entered 0.5  with key psubsw_0_m_m 
You entered 0.5  with key paddsw_0_m_m 
You entered 0.5  with key psubw_0_m_m 
You entered 0.5  with key paddw_0_m_m 
You entered 0.5  with key psubusb_0_m_m 
You entered 0.5  with key paddusb_0_m_m 
You entered 0.5  with key psubsb_0_m_m 
You entered 0.5  with key paddsb_0_m_m 
You entered 0.5  with key psubb_0_m_m 
You entered 0.5  with key paddb_0_m_m 
You entered 0.5  with key psubus_0_m_m 
You entered 0.5  with key paddus_0_m_m 
You entered 0.5  with key psubs_0_m_m 
You entered 0.5  with key padds_0_m_m 
You entered 0.5  with key psub_0_m_m 
You entered 0.5  with key padd_0_m_m 
