Rapl1 is  402140 with last addr 402227  
Rapl2 is  402230 with last addr 402317  
Rapl3 is  402320 with last addr 402407  
You entered 74  with key xsaveopt_0_0_0 
You entered 122  with key xrstor_0_0_0 
You entered 107  with key xsave_0_0_0 
You entered 76.5  with key fxrstor_0_0_0 
You entered 71  with key fxsave_0_0_0 
You entered 2  with key stmxcsr_0_0_0 
You entered 3  with key ldmxcsr_0_0_0 
You entered 12  with key vzeroall_0_0_0 
You entered 1  with key vzeroupper_0_0_0 
You entered 0.5  with key xorpd_0_0_m 
You entered 0.5  with key xorps_0_0_m 
You entered 0.5  with key orpd_0_0_m 
You entered 0.5  with key orps_0_0_m 
You entered 0.5  with key andnpd_0_0_m 
You entered 0.5  with key andnps_0_0_m 
You entered 0.5  with key andpd_0_0_m 
You entered 0.5  with key andps_0_0_m 
You entered 0.33  with key andps_0_0_0 
You entered 0.33  with key xorpd_0_0_0 
You entered 0.33  with key xorps_0_0_0 
You entered 0.33  with key orpd_0_0_0 
You entered 0.33  with key orps_0_0_0 
You entered 0.33  with key andnpd_0_0_0 
You entered 0.33  with key andnps_0_0_0 
You entered 0.33  with key andpd_0_0_0 
You entered 0.5  with key xorpd_0_m_0 
You entered 0.5  with key xorps_0_m_0 
You entered 0.5  with key orpd_0_m_0 
You entered 0.5  with key orps_0_m_0 
You entered 0.5  with key andnpd_0_m_0 
You entered 0.5  with key andnps_0_m_0 
You entered 0.5  with key andpd_0_m_0 
You entered 0.5  with key andps_0_m_0 
You entered 1  with key rsqrtps_0_0_0 
You entered 1  with key rsqrtss_0_0_0 
You entered 5  with key vsqrtpd_0_0_0 
You entered 5  with key sqrtpd_0_0_0 
You entered 5  with key sqrtsd_0_0_0 
You entered 6  with key vsqrtps_0_0_0 
You entered 3  with key sqrtps_0_0_0 
You entered 3  with key sqrtss_0_0_0 
You entered 0.5  with key vfnmsub_0_0_0 
You entered 0.5  with key vfmsub_0_0_0 
You entered 0.5  with key vfnmadd_0_0_0 
You entered 0.5  with key vfmadd_0_0_0 
You entered 1  with key dppd_0_0_0 
You entered 1.5  with key dpps_0_0_0 
You entered 1  with key roundpd_0_0_0 
You entered 1  with key roundps_0_0_0 
You entered 1  with key roundsd_0_0_0 
You entered 1  with key roundss_0_0_0 
You entered 0.5  with key minpd_0_0_0 
You entered 0.5  with key minps_0_0_0 
You entered 0.5  with key minsd_0_0_0 
You entered 0.5  with key minss_0_0_0 
You entered 0.5  with key maxpd_0_0_0 
You entered 0.5  with key maxps_0_0_0 
You entered 0.5  with key maxsd_0_0_0 
You entered 0.5  with key maxss_0_0_0 
You entered 1  with key ucomisd_0_0_0 
You entered 1  with key ucomiss_0_0_0 
You entered 1  with key comisd_0_0_0 
You entered 1  with key comiss_0_0_0 
