,bb,energy
20,"('add $0xa0, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'retq')",[1.052697559160445]
21,"('add $0xd8, %rsp', 'retq')",[0.47849853419462846]
22,"('add %eax, %r9d', 'jmp 0xfffffffffffff9e6')",[0.8612985374487249]
23,"('add %r13, %r12', 'sub %r13, %r14', 'movq  %rax, 0x28(%rbp)', 'add %r14, %r15', 'jnz 0x44')","[1.052697559160445, 1.052697559160445, 1.052697559160445, 1.052697559160445, 1.052697559160445]"
24,"('add %r15d, %r9d', 'cmpb  $0x0, (%rbx)', 'jnz 0xfffffffffffffad6')","[0.6698975559063486, 0.6698975559063486, 0.6698975559063486]"
25,"('add %r8d, %ebx', 'test %ebx, %ebx', 'jnle 0xa21')","[0.5741990249658167, 0.5741990249658167]"
26,"('add %rbx, %rax', 'movq  0x8(%rax), %r8', 'lea -0x10(%rax), %rcx', 'cmp %r8, %rcx', 'jz 0x374')","[0.902897902956481, 0.902897902956481, 0.019674739957239413, 0.019674739957239413, 0.019674739957239413, 0.019674739957239413, 0.019674739957239413, 0.019674739957239413, 0.019674739957239413, 0.019674739957239413, 0.019674739957239413, 0.019674739957239413, 0.019674739957239413, 0.019674739957239413, 0.019674739957239413, 0.019674739957239413]"
27,"('addl  $0x1, -0x514(%rbp)', 'cmpq  $0x0, -0x4e0(%rbp)', 'jnz 0x1519')","[0.9569970683892569, 0.9569970683892569, 0.9569970683892569]"
28,"('addl  -0x4f0(%rbp), %r9d', 'jmp 0xfffffffffffff3d0')","[0.9569970683892569, 0.9569970683892569]"
29,"('and $0x1, %edx', 'jnz 0x645')",[0.47849853419462846]
30,"('and $0x10, %ebx', 'jz 0xfffffffffffff577')",[0.47849853419462846]
31,"('and $0x1f, %ecx', 'and $0xffffffffffffffe0, %rdi', 'vmovdquy  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'sar %cl, %eax', 'test %eax, %eax', 'jz 0x1f')","[1.8489199196712145, 1.8489199196712145, 1.8489199196712145]"
32,"('and $0x8000, %r15d', 'movq  %rax, -0x4c0(%rbp)', 'movl  %r15d, -0x4b4(%rbp)', 'jnz 0x9e')",[1.2440965808721651]
33,"('and $0xfff, %eax', 'sub %rax, %rsp', 'test %rax, %rax', 'jz 0x8')",[0.6698975559063486]
34,"('and $0xfff, %edx', 'sub %rdx, %rsp', 'test %rdx, %rdx', 'jnz 0x939')",[0.6698975559063486]
35,"('and $0xfff, %edx', 'sub %rdx, %rsp', 'test %rdx, %rdx', 'jz 0x8')","[0.6698975559063486, 0.6698975559063486, 0.6698975559063486]"
36,"('and $0xfffffffffffffff0, %rax', 'lea -0x11(%rax), %rbx', 'shr $0x4, %rbx', 'jmp 0xffffffffffffff78')","[0.9673920101895555, 0.9673920101895555, 0.021079938537709647, 0.021079938537709647, 0.021079938537709647, 0.021079938537709647, 0.021079938537709647, 0.021079938537709647, 0.021079938537709647, 0.021079938537709647, 0.021079938537709647, 0.021079938537709647, 0.021079938537709647, 0.021079938537709647, 0.021079938537709647, 0.021079938537709647, 1.4354956025838852]"
37,"('and $0xfffffffffffffff0, %rax', 'mov %rax, %r13', 'test %rdi, %rdi', 'jz 0x504')","[0.4514489514782405, 0.4514489514782405, 0.009836390063291626, 0.009836390063291626, 0.009836390063291626, 0.009836390063291626, 0.009836390063291626, 0.009836390063291626, 0.009836390063291626, 0.009836390063291626, 0.009836390063291626, 0.009836390063291626, 0.009836390063291626, 0.009836390063291626, 0.009836390063291626, 0.009836390063291626, 0.6698975559063486]"
38,"('and $0xfffffffffffffff8, %rax', 'cmpq  0x888(%rbp), %rax', 'jnb 0x233')","[0.5741990249658167, 0.5741990249658167, 0.5741990249658167, 0.5741990249658167, 0.5741990249658167, 0.5741990249658167, 0.5741990249658167]"
39,"('bts $0x34, %rsi', 'mov $0x1, %eax', 'movq  %rsi, (%rdi)', 'retq')",[1.052697559160445]
40,"('callq  (%rbp,%rbx,8)', 'nop %edi, %edx', 'cmpb  $0x0, 0xc37c5(%rip)', 'jnz 0x2d')",[1.4354975624145414]
41,"('callq  0x248', 'nop %edi, %edx', 'pushq  %rbx', 'xor %r10, %r10', 'movq  (%rsi), %rax', 'mov %rdx, %rbx', 'mul %rcx', 'mov %rbx, %r11', 'add %r10, %rax', 'adc $0x0, %rdx', 'and $0x3, %ebx', 'jz 0x34')",[3.2537912084218674]
42,"('callq  0x354e8', 'nop %edi, %edx', 'movl  %fs:0x18, %eax', 'test %eax, %eax', 'jnz 0x12')",[1.5311960933550735]
43,"('callq  0xeb59', 'nop %edi, %edx', 'sub $0x8, %rsp', 'callq  0x57718', 'nop %edi, %edx', 'sub $0x18, %rsp', 'movq  %fs:0x28, %rax', 'movq  %rax, 0x8(%rsp)', 'xor %eax, %eax', 'movl  %fs:0x18, %eax', 'test %eax, %eax', 'jnz 0x4e')","[0.050591068558240686, 0.050591068558240686, 0.050591068558240686, 0.050591068558240686]"
44,"('callq  0xfffffffffffffbf8', 'pushq  %rbp', 'mov %rsp, %rbp')",[1.2440965808721651]
45,"('callq  0xffffffffffffffc3', 'pushq  %rbp', 'mov %rsp, %rbp')",[0.6347982372704641]
46,"('cmp $0x1, %dl', 'jnbe 0x3d')","[0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846]"
47,"('cmp $0x1, %edi', 'jz 0x10')","[0.32246465667340385, 0.32246465667340385, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161]"
48,"('cmp $0x1, %edx', 'jz 0x185')","[6.4234684449117925, 9.376441326257597]"
49,"('cmp $0x10, %dl', 'jnb 0x19')","[0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846]"
50,"('cmp $0x1f, %rbx', 'jbe 0x2a4')","[0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 10.337034683900917, 8.416010634558738, 4.062115523234455, 4.062115523234455, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846]"
51,"('cmp $0x2, %eax', 'jnb 0x2a')","[0.47849853419462846, 0.47849853419462846]"
52,"('cmp $0x2, %ebp', 'jz 0xffffffffffffff2f')",[0.47849853419462846]
53,"('cmp $0x2, %ebx', 'jz 0x5b')","[0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846]"
54,"('cmp $0x20, %rdx', 'jb 0x4b')","[0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846]"
55,"('cmp $0x24, %edx', 'jnbe 0x17c')","[6.4234684449117925, 9.376441326257597]"
56,"('cmp $0x2d, %cl', 'jz 0x282')","[7.708160957995758, 11.251728807576855]"
57,"('cmp $0x2f, %eax', 'jnbe 0x7b4')","[0.47849853419462846, 0.47849853419462846]"
58,"('cmp $0x30, %cl', 'jz 0x218')","[7.708160957995758, 11.251728807576855]"
59,"('cmp $0x34, %eax', 'jle 0x16')",[0.47849853419462846]
60,"('cmp $0x39, %esi', 'jz 0xffffffffffffffe5')",[0.47849853419462846]
61,"('cmp $0x3f, %r12d', 'jz 0x2fd')",[0.47849853419462846]
62,"('cmp $0x3ff, %r13', 'jbe 0x25')","[0.32246465667340385, 0.32246465667340385, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.47849853419462846]"
63,"('cmp $0x3ff, %rax', 'jbe 0x1f6')",[0.47849853419462846]
64,"('cmp $0x4, %dl', 'jnb 0x35')","[0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846]"
65,"('cmp $0x4, %rdx', 'jnz 0xffffffffffffff86')",[0.47849853419462846]
66,"('cmp $0x66, %ebx', 'jz 0x155c')",[0.47849853419462846]
67,"('cmp $0x7fffffff, %r15', 'jnle 0x348')",[0.47849853419462846]
68,"('cmp $0x8, %dl', 'jnb 0x29')","[0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846]"
69,"('cmp $0xa, %ebx', 'jz 0xa3')","[0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846]"
70,"('cmp $0xa, %edx', 'jz 0xfffffffffffffec3')","[6.4234684449117925, 9.376441326257597]"
71,"('cmp $0xffffffff, %eax', 'jnz 0x36')",[0.47849853419462846]
72,"('cmp $0xffffffff, %eax', 'jnz 0xffffffffffffffc9')","[0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846]"
73,"('cmp $0xffffffff, %eax', 'jz 0x150')","[0.47849853419462846, 0.47849853419462846]"
74,"('cmp $0xffffffff, %eax', 'jz 0x42')","[0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846]"
75,"('cmp $0xffffffff, %eax', 'jz 0xd0')",[0.47849853419462846]
76,"('cmp %edx, %r13d', 'jz 0x28d')","[0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846]"
77,"('cmp %r8, %r9', 'jnbe 0x21')","[0.007025992902351161, 0.007025992902351161, 0.007025992902351161, 0.007025992902351161]"
78,"('cmp %r9d, %ebx', 'jnle 0xfffffffffffff958')",[0.47849853419462846]
79,"('cmp %rax, %r12', 'jb 0xfffffffffffffff0')","[0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846]"
80,"('cmp %rax, %r13', 'jbe 0xb2')",[0.47849853419462846]
81,"('cmp %rax, %r15', 'jnz 0x285')",[0.47849853419462846]
82,"('cmp %rax, %r15', 'jnz 0xfffffffffffffce0')","[0.47849853419462846, 0.47849853419462846, 0.47849853419462846]"
83,"('cmp %rax, %r8', 'jnb 0xffffffffffffffa9')","[6.4234684449117925, 9.376441326257597]"
84,"('cmp %rbx, %r14', 'jz 0x280')","[6.4234684449117925, 9.376441326257597]"
85,"('cmp %rbx, %rdi', 'jz 0x1dd')","[6.4234684449117925, 9.376441326257597]"
86,"('cmp %rdx, %r12', 'jz 0x30f')","[0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846, 0.47849853419462846]"
87,"('cmp %rdx, %rbx', 'mov %r12, %rsi', 'mov %rbx, %r14', 'cmovbe %rbx, %rdx', 'mov %rdx, %r13', 'callq  0xfffffffffffe370b', 'jmpq  0xc1ff2(%rip)', 'nop %edi, %edx', 'mov %rdi, %rax', 'add %rdx, %rax', 'jmp 0xd')","[3.158092677481335, 3.158092677481335, 3.158092677481335, 3.158092677481335, 3.158092677481335]"
88,"('cmpb  $0x0, 0xa4da0(%rip)', 'jnz 0xc')",[0.5741990249658167]
89,"('cmpb  $0x20, -0x508(%rbp)', 'jnz 0xfffffffffffff718')","[0.5741990249658167, 0.5741990249658167]"
90,"('cmpb  $0x66, -0x13c(%rbp)', 'jz 0x10d6')",[0.5741990249658167]
91,"('cmpl  $0x1, -0x140(%rbp)', 'jnz 0x1087')",[0.5741990249658167]
