,bb,energy
23,"('and $0x1f, %ecx', 'and $0xffffffffffffffe0, %rdi', 'vmovdquy  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'sar %cl, %eax', 'test %eax, %eax', 'jz 0x1f')",[7.042841153538562]
24,"('and $0x8000, %r15d', 'movq  %rax, -0x4c0(%rbp)', 'movl  %r15d, -0x4b4(%rbp)', 'jnz 0x9e')",[4.73897172608187]
25,"('and $0xfffffffffffffff0, %rax', 'lea -0x11(%rax), %rbx', 'shr $0x4, %rbx', 'jmp 0xffffffffffffff78')","[0.3197979169138586, 1.9412712954818123, 5.468044299325234]"
26,"('and $0xfffffffffffffff0, %rax', 'mov %rax, %r13', 'test %rdi, %rdi', 'jz 0x504')","[0.9059258845007253, 2.551754006351776]"
27,"('bsf %r8, %rax', 'add %rdi, %rax', 'cmpb  $0x0, (%rax)', 'jz 0x40')",[0.23451791235880992]
28,"('callq  (%rbp,%rbx,8)', 'nop %edi, %edx', 'cmpb  $0x0, 0xc2645(%rip)', 'jnz 0x2d')",[5.468044299325234]
29,"('callq  0x3437f', 'nop %edi, %edx', 'pushq  %r12', 'mov %esi, %r10d', 'mov %esi, %r12d', 'pushq  %rbp', 'mov %rdi, %rbp', 'sub $0x68, %rsp', 'movq  %rdx, 0x40(%rsp)', 'movq  %fs:0x28, %rax', 'movq  %rax, 0x28(%rsp)', 'xor %eax, %eax', 'and $0x40, %r10d', 'jnz 0x5b')",[0.8314731438611245]
30,"('callq  0x35478', 'nop %edi, %edx', 'movl  %fs:0x18, %eax', 'test %eax, %eax', 'jnz 0x12')","[5.832580585946917, 5.832580585946917]"
31,"('callq  0x61d8', 'nop %edi, %edx', 'testb  $0x80, (%rdi)', 'jz 0x9')",[5.468044299325234]
32,"('callq  0x7cf0', 'nop %edi, %edx', 'sub $0x18, %rsp', 'movq  0x9df19(%rip), %rax', 'test %rax, %rax', 'jnz 0x86')",[6.926189445811963]
33,"('callq  0xfffffffffffffda5', 'pushq  %rbp', 'mov %rsp, %rbp')",[3.948828018930713]
34,"('callq  0xfffffffffffffee4', 'pushq  %rbp', 'mov %rsp, %rbp')",[3.948828018930713]
35,"('cmp $0x0, %ebx', 'jnz 0x11')",[1.5187800072810436]
36,"('cmp $0x1, %dl', 'jnbe 0x3d')",[1.8226814331084116]
37,"('cmp $0x10, %dl', 'jnb 0x19')","[1.8226814331084116, 1.8226814331084116]"
38,"('cmp $0x1f, %rbx', 'jbe 0x2a4')","[1.8226814331084116, 1.8226814331084116]"
39,"('cmp $0x2, %ebp', 'jz 0xffffffffffffff2f')",[1.8226814331084116]
40,"('cmp $0x20, %rdx', 'jb 0x4b')","[1.8226814331084116, 1.8226814331084116]"
41,"('cmp $0x2f, %eax', 'jnbe 0xfa6')",[1.8226814331084116]
42,"('cmp $0x3ff, %r13', 'jbe 0x25')","[0.6470904318272708, 1.8226814331084116]"
43,"('cmp $0x3ff, %rax', 'jbe 0x1f6')","[0.6470904318272708, 1.8226814331084116]"
44,"('cmp $0x4, %dl', 'jnb 0x35')","[1.8226814331084116, 1.8226814331084116]"
45,"('cmp $0x4, %rdx', 'jnz 0xffffffffffffff86')",[1.8226814331084116]
46,"('cmp $0x61, %al', 'jle 0x27a')",[0.10659970566987172]
47,"('cmp $0x61, %al', 'jz 0x18a')",[0.10659970566987172]
48,"('cmp $0x77, %al', 'jz 0x4e')",[0.10659970566987172]
49,"('cmp $0x7fffffff, %r15', 'jnle 0x348')",[1.8226814331084116]
50,"('cmp $0x8, %dl', 'jnb 0x29')","[1.8226814331084116, 1.8226814331084116]"
51,"('cmp $0xa, %ebx', 'jz 0xa3')","[1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116]"
52,"('cmp $0xffff, %rbx', 'jnbe 0x1b2')",[1.8226814331084116]
53,"('cmp $0xffffffff, %eax', 'jnz 0x36')","[0.6470904318272708, 1.8226814331084116]"
54,"('cmp $0xffffffff, %eax', 'jz 0x150')","[1.8226814331084116, 1.8226814331084116]"
55,"('cmp $0xffffffff, %eax', 'jz 0x42')","[1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116]"
56,"('cmp $0xffffffff, %eax', 'jz 0xd0')",[1.8226814331084116]
57,"('cmp $0xffffffff, %ebx', 'jz 0xbd')",[0.6470904318272708]
58,"('cmp $0xffffffffffffffff, %rax', 'jz 0x12')",[0.10659970566987172]
59,"('cmp %rax, %r12', 'jb 0xfffffffffffffff0')","[1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116, 1.8226814331084116]"
60,"('cmp %rax, %r13', 'jbe 0xb2')","[1.8226814331084116, 1.8226814331084116]"
61,"('cmp %rax, %r15', 'jnz 0x285')",[1.8226814331084116]
62,"('cmp %rax, %r15', 'jnz 0xfffffffffffffce0')",[1.8226814331084116]
63,"('cmp %rdx, %rbx', 'mov %r12, %rsi', 'mov %rbx, %r14', 'cmovbe %rbx, %rdx', 'mov %rdx, %r13', 'callq  0xfffffffffffe45eb', 'jmpq  0xc0ff2(%rip)', 'nop %edi, %edx', 'mov %rdi, %rax', 'add %rdx, %rax', 'jmp 0xd')","[12.029698658611272, 12.029698658611272]"
64,"('cmpb  $0x0, 0xa4b00(%rip)', 'jnz 0xc')",[2.1872177197300937]
65,"('cmpb  $0x20, -0x508(%rbp)', 'jnz 0xfffffffffffff718')",[2.1872177197300937]
66,"('cmpl  $0x10, -0x510(%rbp)', 'jnz 0x62')",[2.1872177197300937]
67,"('cmpl  $0x10, -0x510(%rbp)', 'jnz 0xa')",[2.1872177197300937]
68,"('cmpl  $0x3, -0x14(%rbp)', 'jnl 0x5e')","[1.8225360087372522, 1.8225360087372522]"
69,"('cmpl  $0x5a, -0x14(%rbp)', 'jnle 0x32')","[0.7765087582118763, 1.8225360087372522, 1.8225360087372522, 1.8225360087372522, 1.8225360087372522, 1.8225360087372522, 0.16526038624924405, 1.8225360087372522, 1.8225360087372522, 1.8225360087372522, 1.8225360087372522, 1.8225360087372522, 0.45620800117603, 1.8225360087372522, 1.8225360087372522, 1.8225360087372522, 1.8225360087372522, 1.8225360087372522, 1.8225360087372522, 1.8225360087372522, 1.8225360087372522, 1.8225360087372522, 1.8225360087372522, 1.8225360087372522, 1.8225360087372522, 1.8225360087372522, 1.8225360087372522]"
70,"('cmpl  $0xa, -0x510(%rbp)', 'jnz 0x3d')",[2.1872177197300937]
71,"('cmpq  $0x0, %fs:0xffffffffffffffc8', 'jz 0x95')","[2.1872177197300937, 2.1872177197300937]"
72,"('cmpq  $0x0, -0x500(%rbp)', 'jz 0x670')",[2.1872177197300937]
73,"('cmpq  $0x0, -0x500(%rbp)', 'jz 0x6b')",[2.1872177197300937]
74,"('cmpq  $0x0, 0x48(%rbp)', 'jz 0xffffffffffffff25')",[2.1872177197300937]
75,"('cmpq  $0x0, 0xadde8(%rip)', 'jz 0x3f8')",[2.1872177197300937]
76,"('cmpq  $0x0, 0xb1660(%rip)', 'jnz 0x120')",[2.1872177197300937]
77,"('cmpq  $0x0, 0xb1672(%rip)', 'jnz 0x112')",[2.1872177197300937]
78,"('cmpq  %r13, 0x60(%rbp)', 'jz 0x3c3')",[2.1872177197300937]
79,"('cmpq  %r14, 0x888(%rbp)', 'jbe 0x427')",[2.1872177197300937]
80,"('cmpq  %r15, 0x9e11e(%rip)', 'cmovnbe %r13, %rax', 'movq  %rax, 0x10(%rsp)', 'movq  $0x0, 0x8(%rsp)', 'lea 0x60(%rbx), %r11', 'movl  %r14d, 0x48(%rsp)', 'movq  %rbp, 0x20(%rsp)', 'movq  0x78(%rbx), %r10', 'cmp %r11, %r10', 'jz 0x337')","[4.270795169925928, 12.029698658611272]"
81,"('cmpq  %rdx, 0x40(%rbp)', 'jz 0xf6')","[0.7765087582118763, 2.1872177197300937, 2.1872177197300937, 2.1872177197300937, 2.1872177197300937, 2.1872177197300937, 2.1872177197300937, 2.1872177197300937, 2.1872177197300937, 2.1872177197300937, 2.1872177197300937, 2.1872177197300937, 2.1872177197300937, 2.1872177197300937, 2.1872177197300937]"
82,"('cmpq  0x8(%rdx), %r14', 'jz 0x248')",[1.8226814331084116]
83,"('cmpq  0x9bfa3(%rip), %rbx', 'jb 0xb3')","[0.10659970566987172, 0.6470904318272708, 1.8226814331084116]"
84,"('cmpq  0xa1c7e(%rip), %rbx', 'jnbe 0xb6')",[1.8226814331084116]
85,"('cmpxchgl  %edx, (%rdi)', 'movl  (%rbx), %esi', 'movq  0x88(%rbx), %rdi', 'movq  0xa3bc5(%rip), %rcx', 'mov %esi, %r8d', 'addl  $0x1, 0x4(%rdi)', 'movq  %r12, 0x8(%rdi)', 'and $0x8000, %r8d', 'test %rcx, %rcx', 'jz 0x16')",[17.862279244558188]
