,bb,energy
49,"('cmp $0x2, %ebp', 'jz 0xffffffffffffff2f')",[0.8837830466375989]
50,"('cmp $0x20, %rdx', 'jb 0x4b')","[0.30373257406888826, 0.30373257406888826, 0.30373257406888826, 0.30373257406888826, 0.30373257406888826, 0.32246623182651823, 0.32246623182651823, 0.32246623182651823, 0.32246623182651823, 0.32246623182651823]"
51,"('cmp $0x24, %edx', 'jnbe 0x17c')","[0.8573651068426256, 0.5698983367163684]"
52,"('cmp $0x2d, %cl', 'jz 0x282')","[1.0288391942387165, 0.6838762273470322]"
53,"('cmp $0x2f, %eax', 'jnbe 0x7b4')","[0.30373257406888826, 0.30373257406888826, 0.32246623182651823, 0.32246623182651823]"
54,"('cmp $0x30, %cl', 'jz 0x218')","[1.0288391942387165, 0.6838762273470322]"
55,"('cmp $0x30, %r15d', 'jnz 0xe1')","[0.8573651068426256, 0.5698983367163684]"
56,"('cmp $0x3fbfffff, %eax', 'jnle 0x163')","[0.2653715721109038, 0.8837830466375989]"
57,"('cmp $0x3fdfffff, %eax', 'jnle 0x15b')","[0.2653715721109038, 0.8837830466375989]"
58,"('cmp $0x3fdfffff, %eax', 'jnle 0x1f3')","[0.1257095239931099, 0.8837830466375989]"
59,"('cmp $0x3fe7ffff, %eax', 'jnle 0x193')","[0.1257095239931099, 0.8837830466375989]"
60,"('cmp $0x3fe7ffff, %eax', 'jnle 0x1a3')","[0.2653715721109038, 0.8837830466375989]"
61,"('cmp $0x3feb5fff, %eax', 'jnle 0xe3')","[0.9641437579784188, 0.8837830466375989]"
62,"('cmp $0x3feb5fff, %eax', 'jnle 0xfb')","[0.9330530640196965, 0.8837830466375989]"
63,"('cmp $0x3fed7fff, %eax', 'jle 0x1db')","[0.1257095239931099, 0.8837830466375989]"
64,"('cmp $0x3fed7fff, %eax', 'jle 0x30b')","[0.2653715721109038, 0.8837830466375989]"
65,"('cmp $0x3fee7fff, %eax', 'jnle 0x440')","[0.1257095239931099, 0.8837830466375989]"
66,"('cmp $0x3fee7fff, %eax', 'jnle 0x538')","[0.2653715721109038, 0.8837830466375989]"
67,"('cmp $0x3feeffff, %eax', 'jnle 0x1fb')","[0.1257095239931099, 0.8837830466375989]"
