,bb,energy
41,"('cmp $0xffffffff, %eax', 'mov $0xffffffff, %eax', 'cmovz %eax, %r14d', 'test %ebp, %ebp', 'jz 0x3e')",[1.9853958160769478]
42,"('cmp %rax, %r12', 'jb 0xfffffffffffffff0')","[1.1029972098960785, 1.1029972098960785, 1.1029972098960785]"
43,"('cmp %rax, %r13', 'jbe 0xb2')",[1.1029972098960785]
44,"('cmp %rax, %r15', 'jnz 0x285')",[1.1029972098960785]
45,"('cmp %rax, %r15', 'jnz 0xfffffffffffffce0')",[1.1029972098960785]
46,"('cmp %rdx, %rbx', 'mov %r12, %rsi', 'mov %rbx, %r14', 'cmovbe %rbx, %rdx', 'mov %rdx, %r13', 'callq  0xfffffffffffe477b', 'jmpq  0xc0ff2(%rip)', 'nop %edi, %edx', 'mov %rdi, %rax', 'add %rdx, %rax', 'jmp 0xd')",[7.279783261842132]
47,"('cmpb  $0x0, 0xa4c90(%rip)', 'jnz 0xc')",[1.323596861441296]
48,"('cmpb  $0x20, -0x508(%rbp)', 'jnz 0xfffffffffffff718')",[1.323596861441296]
49,"('cmpl  $0x10, -0x510(%rbp)', 'jnz 0x62')",[1.323596861441296]
50,"('cmpl  $0x10, -0x510(%rbp)', 'jnz 0xa')",[1.323596861441296]
51,"('cmpl  $0x64, -0x1c(%rbp)', 'jnl 0x2c')","[1.2631791882895784, 0.0660447253925571, 0.0660447253925571, 0.149745386416791, 0.7545329581572559, 0.7545329581572559, 0.149745386416791, 1.2631791882895784, 1.1882109374515968, 1.2631791882895784, 1.2631791882895784, 1.2631791882895784, 1.049721340978751, 0.19654042673578523, 0.15279771522955504, 1.2631791882895784, 1.0552821748302232, 1.0552821748302232, 0.8391263703481477, 1.417104163508667, 1.417104163508667, 0.8042734486282171, 0.8042734486282171, 0.910721451292099, 0.910721451292099, 0.910721451292099, 0.9787601971895274, 0.20054628085566062, 1.2044240111625129, 1.2044240111625129, 1.2631791882895784, 1.1882109374515968, 0.7004062512735825, 0.7004062512735825, 0.7004062512735825, 0.6633350734271081, 0.6633350734271081, 0.6633350734271081, 1.2430438817605374, 1.2631791882895784, 1.2882807988579112, 1.2631791882895784, 0.4408996237081996, 1.2903481674633295, 1.162159787797309, 0.6576767913849091, 0.10483224879183183, 0.10483224879183183, 0.10483224879183183, 1.5425891417545257, 0.37736340335435076, 0.37736340335435076, 0.42022593765401667, 1.2631791882895784, 0.42137016802255023, 0.40543581709371296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296]"
52,"('cmpl  $0xa, -0x510(%rbp)', 'jnz 0x3d')",[1.323596861441296]
53,"('cmpq  $0x0, -0x500(%rbp)', 'jz 0x670')",[1.323596861441296]
54,"('cmpq  $0x0, -0x500(%rbp)', 'jz 0x6b')",[1.323596861441296]
55,"('cmpq  $0x0, 0xade28(%rip)', 'jz 0x3f8')",[1.323596861441296]
56,"('cmpq  $0x0, 0xb16a0(%rip)', 'jnz 0x120')",[1.323596861441296]
57,"('cmpq  $0x0, 0xb16b2(%rip)', 'jnz 0x112')",[1.323596861441296]
58,"('cmpq  %r15, 0x9e2ae(%rip)', 'cmovnbe %r13, %rax', 'movq  %rax, 0x10(%rsp)', 'movq  $0x0, 0x8(%rsp)', 'lea 0x60(%rbx), %r11', 'movl  %r14d, 0x48(%rsp)', 'movq  %rbp, 0x20(%rsp)', 'movq  0x78(%rbx), %r10', 'cmp %r11, %r10', 'jz 0x337')",[7.279783261842132]
59,"('cmpq  %rdx, 0x40(%rbp)', 'jz 0xf6')","[1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296, 1.323596861441296]"
60,"('cmpq  0x8(%rdx), %r14', 'jz 0x248')",[1.1029972098960785]
61,"('cmpq  0x9c133(%rip), %rbx', 'jb 0xb3')",[1.1029972098960785]
62,"('cmpxchgl  %edx, 0xb562a(%rip)', 'cmpq  %r15, 0xb562b(%rip)', 'jnz 0xffffffffffffffbf')",[6.617986402866495]
