,bb,energy
29,"('cmp $0x8, %dl', 'jnb 0x29')","[0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409]"
30,"('cmp $0xa, %ebx', 'jz 0xa3')","[0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409]"
31,"('cmp $0xffffffff, %eax', 'jnz 0x36')",[0.4905658131399409]
32,"('cmp $0xffffffff, %eax', 'jnz 0xffffffffffffff4d')",[0.4905658131399409]
33,"('cmp $0xffffffff, %eax', 'jz 0x150')","[0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409]"
34,"('cmp $0xffffffff, %eax', 'jz 0x42')","[0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409]"
35,"('cmp $0xffffffff, %eax', 'jz 0xd0')",[0.4905658131399409]
36,"('cmp $0xffffffff, %eax', 'jz 0xffffffffffffff1b')","[0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409]"
37,"('cmp %rax, %r12', 'jb 0xfffffffffffffff0')","[0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409]"
38,"('cmp %rax, %r13', 'jbe 0xb2')","[0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409]"
39,"('cmp %rax, %r15', 'jnz 0x285')","[0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409]"
40,"('cmp %rdx, %rbx', 'mov %r12, %rsi', 'mov %rbx, %r14', 'cmovbe %rbx, %rdx', 'mov %rdx, %r13', 'callq  0xfffffffffffe485b', 'jmpq  0xc0ff2(%rip)', 'nop %edi, %edx', 'mov %rdi, %rax', 'add %rdx, %rax', 'jmp 0xd')","[3.2377339665467457, 3.2377339665467457, 3.2377339665467457, 3.2377339665467457, 3.2377339665467457, 3.2377339665467457, 3.2377339665467457, 3.2377339665467457, 3.2377339665467457, 3.2377339665467457, 3.2377339665467457]"
41,"('cmpb  $0x0, 0xa4d70(%rip)', 'jnz 0xc')",[0.5886791758563613]
42,"('cmpl  $0x4, -0x4(%rbp)', 'jle 0x18')","[0.5886791758563613, 0.5886791758563613, 0.5886791758563613, 0.5886791758563613, 0.5886791758563613, 0.5886791758563613, 0.5886791758563613, 0.5886791758563613, 0.5886791758563613]"
43,"('cmpl  $0xa, -0x8(%rbp)', 'jnl 0x81')","[0.27609402401933275, 0.5886791758563613, 0.5886791758563613, 0.5886791758563613, 0.5886791758563613, 0.5886791758563613, 0.5886791758563613, 0.5886791758563613, 0.5886791758563613, 0.5886791758563613]"
