,bb,energy
27,"('btc $0x33, %rsi', 'vmovsdq  0xb2036(%rip), %xmm0', 'mov $0xfff0000000000000, %rdx', 'lea (%rsi,%rsi,1), %rax', 'cmp %rdx, %rax', 'jbe 0xfffffffffffffec5')","[2.1586157563007164, 0.11623656011062071, 0.11623656011062071, 0.11623656011062071]"
28,"('callq  (%rbp,%rbx,8)', 'nop %edi, %edx', 'cmpb  $0x0, 0xe5695(%rip)', 'jnz 0x2d')",[1.0098331206437354]
29,"('callq  0x356a8', 'nop %edi, %edx', 'movl  %fs:0x18, %eax', 'test %eax, %eax', 'jnz 0x12')","[0.11623656011062071, 0.11623656011062071, 0.11623656011062071, 1.0771554521232691]"
30,"('callq  0x5d2bd', 'nop %edi, %edx', 'mov $0xffffffffffffffb0, %rax', 'movq  %fs:(%rax), %r8', 'jmp 0x31')","[3.7706245431277794, 0.28892685748226954, 0.28892685748226954, 0.28892685748226954]"
31,"('callq  0xfffffffffffffe1a', 'pushq  %rbp', 'mov %rsp, %rbp')",[0.8751903092339385]
32,"('callq  0xffffffffffffffc8', 'pushq  %rbp', 'mov %rsp, %rbp')",[0.4726795288919606]
33,"('cmp $0x1, %dl', 'jnbe 0x3d')","[0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.33661165739766863]"
34,"('cmp $0x1, %edx', 'jz 0x185')","[0.8569599551154709, 0.065665194882334, 0.065665194882334, 0.065665194882334]"
35,"('cmp $0x10, %dl', 'jnb 0x19')","[0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.33661165739766863, 0.33661165739766863, 0.33661165739766863]"
36,"('cmp $0x2, %ebp', 'jz 0xffffffffffffff2f')",[0.33661165739766863]
37,"('cmp $0x20, %rdx', 'jb 0x4b')","[0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.33661165739766863, 0.33661165739766863, 0.33661165739766863]"
38,"('cmp $0x24, %edx', 'jnbe 0x17c')","[0.8569599551154709, 0.065665194882334, 0.065665194882334, 0.065665194882334]"
39,"('cmp $0x2d, %cl', 'jz 0x282')","[1.0283523164484192, 0.07879823385880079, 0.07879823385880079, 0.07879823385880079]"
40,"('cmp $0x2f, %eax', 'jnbe 0xfa6')","[0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.33661165739766863]"
41,"('cmp $0x30, %cl', 'jz 0x218')","[1.0283523164484192, 0.07879823385880079, 0.07879823385880079, 0.07879823385880079]"
42,"('cmp $0x30, %r15d', 'jnz 0xe1')","[0.8569599551154709, 0.065665194882334, 0.065665194882334, 0.065665194882334]"
43,"('cmp $0x3ff, %r13', 'jbe 0x25')",[0.20717355098756846]
44,"('cmp $0x3ff, %rax', 'jbe 0x1f6')",[0.20717355098756846]
45,"('cmp $0x4, %dl', 'jnb 0x35')","[0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.33661165739766863, 0.33661165739766863]"
46,"('cmp $0x4, %rdx', 'jnz 0xffffffffffffff86')",[0.33661165739766863]
47,"('cmp $0x53, %r12b', 'jnbe 0x1d52')","[0.8569599551154709, 0.065665194882334, 0.065665194882334, 0.065665194882334]"
48,"('cmp $0x7fffffff, %r15', 'jnle 0x348')","[0.20717355098756846, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.33661165739766863]"
49,"('cmp $0x8, %dl', 'jnb 0x29')","[0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.33661165739766863, 0.33661165739766863]"
50,"('cmp $0xa, %ebx', 'jz 0xa3')","[0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846]"
51,"('cmp $0xa, %edx', 'jz 0xfffffffffffffec3')","[0.8569599551154709, 0.065665194882334, 0.065665194882334, 0.065665194882334]"
52,"('cmp $0xa, %r13d', 'jz 0xfffffffffffffa84')","[0.8569599551154709, 0.065665194882334, 0.065665194882334, 0.065665194882334]"
53,"('cmp $0xffffffff, %eax', 'jnz 0x36')",[0.20717355098756846]
54,"('cmp $0xffffffff, %eax', 'jnz 0xffffffffffffffcb')","[0.8569599551154709, 0.065665194882334, 0.065665194882334, 0.065665194882334]"
55,"('cmp $0xffffffff, %eax', 'jz 0x11')","[0.8569599551154709, 0.065665194882334, 0.065665194882334, 0.065665194882334]"
56,"('cmp $0xffffffff, %eax', 'jz 0x150')","[0.20717355098756846, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.33661165739766863]"
57,"('cmp $0xffffffff, %eax', 'jz 0x42')","[0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846, 0.20717355098756846]"
58,"('cmp $0xffffffff, %eax', 'jz 0xd0')",[0.33661165739766863]
59,"('cmp $0xffffffff, %eax', 'jz 0xfffffffffffff989')","[0.8569599551154709, 0.065665194882334, 0.065665194882334, 0.065665194882334]"
60,"('cmp $0xffffffff, %eax', 'jz 0xffffffffffffff1b')","[0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.33661165739766863]"
61,"('cmp $0xffffffff, %eax', 'jz 0xffffffffffffff32')","[0.8569599551154709, 0.065665194882334, 0.065665194882334, 0.065665194882334]"
62,"('cmp $0xffffffff, %r15d', 'jnz 0x1038')","[0.8569599551154709, 0.065665194882334, 0.065665194882334, 0.065665194882334]"
63,"('cmp $0xffffffff, %r15d', 'jz 0x16a0')","[0.8569599551154709, 0.065665194882334, 0.065665194882334, 0.065665194882334]"
